date,year,month,product,bank,total_volume,approved_pct,bd_pct,td_pct,total_decline_pct
2021-01-10,2021,1,NFS,DBS Bank,0.87,81.59,15.43,1.91,17.34
2021-01-10,2021,1,NFS,AU Small Finance Bank,0.78,77.61,19.99,1.34,21.33
2021-01-10,2021,1,NFS,Andhra Pragathi Grameena Bank,0.76,62.54,19.44,17.36,36.8
2021-01-10,2021,1,NFS,Equitas Small Finance Bank Ltd.,0.75,84.9,12.89,1.26,14.15
2021-01-10,2021,1,NFS,RBL Bank Limited,0.72,86.5,10.46,1.98,12.440000000000001
2021-01-10,2021,1,NFS,Chhattisgarh  Gramin Bank,0.71,80.67,13.51,4.93,18.439999999999998
2021-01-10,2021,1,NFS,Lakshmi Vilas Bank,0.71,82.49,14.93,1.64,16.57
2021-01-11,2021,1,NFS,State Bank of India,107.46,85.07,13.41,1.48,14.89
2021-01-11,2021,1,NFS,Union Bank Of India,35.53,83.74,14.73,1.33,16.060000000000002
2021-01-11,2021,1,NFS,Canara Bank,30.52,83.07,15.66,1.24,16.9
2021-01-11,2021,1,NFS,Bank Of Baroda,30.81,82.25,14.96,2.74,17.700000000000003
2021-01-11,2021,1,NFS,Punjab National Bank,28.93,84.15,14.23,1.35,15.58
2021-01-11,2021,1,NFS,HDFC Bank,25.33,85.34,12.71,1.84,14.55
2021-01-11,2021,1,NFS,Indian Bank,24.15,81.19,16.36,2.01,18.369999999999997
2021-01-11,2021,1,NFS,Bank Of India,22.12,80.47,17.85,1.65,19.5
2021-01-11,2021,1,NFS,ICICI Bank,17.49,85.5,12.97,1.39,14.360000000000001
2021-01-11,2021,1,NFS,Axis Bank,14.99,86.37,10.56,2.97,13.530000000000001
2021-01-11,2021,1,NFS,Central Bank of India,13.26,78.01,20.83,0.68,21.509999999999998
2021-01-11,2021,1,NFS,Indian Overseas Bank,10.1,80.86,15.6,3.52,19.12
2021-01-11,2021,1,NFS,UCO Bank,8.48,80.88,15.58,3.5,19.08
2021-01-11,2021,1,NFS,Bank of Maharashtra,8.36,81.86,16.01,2.09,18.1
2021-01-11,2021,1,NFS,Federal Bank,7.5,84.33,12.71,2.51,15.22
2021-01-11,2021,1,NFS,Kotak Mahindra Bank,7.1,80.75,17.8,1.35,19.150000000000002
2021-01-11,2021,1,NFS,IDBI Bank,5.1,82.64,15.21,1.94,17.150000000000002
2021-01-11,2021,1,NFS,Indusind Bank,5.72,86.2,12.64,0.17,12.81
2021-01-11,2021,1,NFS,Karnataka Bank,4.07,80.02,17.75,2.14,19.89
2021-01-11,2021,1,NFS,Karur Vysya Bank,3.74,85.86,12.63,1.24,13.870000000000001
2021-01-11,2021,1,NFS,Ujjivan Small Finance Bank Limited,3.05,78.42,20.17,0.98,21.150000000000002
2021-01-11,2021,1,NFS,IDFC,2.76,86.51,11.85,0.32,12.17
2021-01-11,2021,1,NFS,Yes Bank Ltd,2.74,86.32,10.74,2.53,13.27
2021-01-11,2021,1,NFS,Paytm Payments Bank Ltd,2.79,80.75,18.08,0.87,18.95
2021-01-11,2021,1,NFS,Bandhan Bank limited,2.64,83.01,15.92,0.1,16.02
2021-01-11,2021,1,NFS,The South Indian Bank,2.37,83.37,14.11,2.37,16.48
2021-01-11,2021,1,NFS,Punjab and Sind Bank,2.36,67.48,23.75,4.98,28.73
2021-01-11,2021,1,NFS,Jammu and Kashmir Bank,1.82,82.61,15.96,1.31,17.27
2021-01-11,2021,1,NFS,Department of Post,1.68,82.5,14.6,2.87,17.47
2021-01-11,2021,1,NFS,City Union Bank,1.63,83.03,15.18,0.49,15.67
2021-01-11,2021,1,NFS,Fino Payments Bank,1.76,76.22,22.51,1.23,23.740000000000002
2021-01-11,2021,1,NFS,ESAF Small Finance Bank,1.59,76.26,22.38,1.27,23.65
2021-01-11,2021,1,NFS,Kerala Gramin Bank,1.49,81.3,17.29,1.35,18.64
2021-01-11,2021,1,NFS,Tamilnaad Mercantile Bank,1.81,65.58,19.34,14.65,33.99
2021-01-11,2021,1,NFS,Fincare Small Finance Bank Limited,1.41,72.04,26.73,0.96,27.69
2021-01-11,2021,1,NFS,Andhra Pradesh Grameena Vikas Bank,1.51,61.95,31.58,6.4,37.98
2021-01-11,2021,1,NFS,Purvanchal Gramin Bank,1.07,83.94,14.32,1.22,15.540000000000001
2021-01-11,2021,1,NFS,Yes Bank ? Prepaid ? YP2,1.29,68.92,29.46,1.59,31.05
2021-01-11,2021,1,NFS,Saraswat Co-operative Bank,1.03,84.18,11.49,4.29,15.780000000000001
2021-01-11,2021,1,NFS,Pragathi Krishna Gramin Bank,1.02,75.67,22.36,1.91,24.27
2021-01-11,2021,1,NFS,Maharashtra Gramin Bank,0.94,81.24,16.66,1.73,18.39
2021-01-11,2021,1,NFS,Standard Chartered Bank,0.81,85.09,13.34,1.41,14.75
2021-01-11,2021,1,NFS,Citibank,0.8,85.72,12.4,1.7,14.1
2021-01-11,2021,1,NFS,DBS Bank,0.8,81.75,16.49,1.72,18.209999999999997
2021-01-11,2021,1,NFS,Equitas Small Finance Bank Ltd.,0.75,85.52,13.21,0.22,13.430000000000001
2021-01-11,2021,1,NFS,RBL Bank Limited,0.69,85.0,13.57,0.1,13.67
2021-01-11,2021,1,NFS,AU Small Finance Bank,0.73,77.64,20.68,1.46,22.14
2021-01-11,2021,1,NFS,Lakshmi Vilas Bank,0.65,82.83,15.38,1.06,16.44
2021-01-11,2021,1,NFS,Chhattisgarh  Gramin Bank,0.69,73.75,18.96,7.25,26.21
2021-01-11,2021,1,NFS,Andhra Pragathi Grameena Bank,0.73,65.3,21.08,13.58,34.66
2021-01-10,2021,1,AEPS,State Bank of India,66.25,75.93,20.22,3.58,23.799999999999997
2021-01-10,2021,1,AEPS,Punjab National Bank,23.71,81.75,16.13,1.86,17.99
2021-01-10,2021,1,AEPS,Bank of Baroda,18.17,68.12,29.67,1.99,31.66
2021-01-10,2021,1,AEPS,Union Bank of India,17.06,86.41,11.55,1.8,13.350000000000001
2021-01-10,2021,1,AEPS,Central Bank of India,16.49,87.67,10.88,1.17,12.05
2021-01-10,2021,1,AEPS,Indian Bank,16.19,74.31,21.48,3.96,25.44
2021-01-10,2021,1,AEPS,Bank of India,12.8,73.4,15.2,11.13,26.33
2021-01-10,2021,1,AEPS,Bangiya Gramin Vikash Bank,7.01,39.48,9.15,51.15,60.3
2021-01-10,2021,1,AEPS,Canara Bank,6.67,85.87,13.0,0.86,13.86
2021-01-10,2021,1,AEPS,UCO Bank,5.21,80.13,13.91,5.7,19.61
2021-01-10,2021,1,AEPS,Baroda Uttar Pradesh Gramin Bank,4.97,80.89,15.22,3.67,18.89
2021-01-10,2021,1,AEPS,Dakshin Bihar Gramin Bank erstwhile Madhya Bihar Gramin Bank,4.61,86.15,12.13,1.41,13.540000000000001
2021-01-10,2021,1,AEPS,Uttar Bihar Grameen Bank,4.54,79.6,15.09,5.07,20.16
2021-01-10,2021,1,AEPS,India Post Payment Bank,4.26,78.54,18.0,3.19,21.19
2021-01-10,2021,1,AEPS,Indian Overseas Bank,2.96,85.64,9.2,4.89,14.09
2021-01-10,2021,1,AEPS,Baroda Rajasthan Kshetriya Gramin Bank,2.7,82.71,14.27,2.82,17.09
2021-01-10,2021,1,AEPS,Chhattisgarh Rajya Gramin Bank,2.48,75.79,16.32,7.64,23.96
2021-01-10,2021,1,AEPS,Purvanchal Gramin Bank,2.46,63.09,24.76,11.93,36.69
2021-01-10,2021,1,AEPS,Madhya Pradesh Gramin Bank erstwhile Narmada Jhabua Gramin Bank,2.19,87.5,10.86,1.4,12.26
2021-01-10,2021,1,AEPS,Bank of Maharashtra,1.96,82.33,13.8,3.62,17.42
2021-01-10,2021,1,AEPS,Prathma UP Gramin Bank erstwhile Sarva UP Gramin Bank,1.93,85.85,12.62,1.3,13.92
2021-01-10,2021,1,AEPS,HDFC Bank,1.88,81.85,17.08,0.87,17.95
2021-01-10,2021,1,AEPS,Rajasthan Marudhara Gramin Bank,1.71,84.6,11.37,3.77,15.139999999999999
2021-01-10,2021,1,AEPS,Madhyanchal Gramin Bank,1.64,82.19,13.7,3.9,17.599999999999998
2021-01-10,2021,1,AEPS,Karnataka Gramin Bank erstwhile Pragathi Krishna Gramin Bank,1.46,82.82,11.4,5.55,16.95
2021-01-10,2021,1,AEPS,Indusind Bank,1.45,80.55,14.03,5.2,19.23
2021-01-10,2021,1,AEPS,Utkal Gramin Bank,1.43,81.86,12.87,5.02,17.89
2021-01-10,2021,1,AEPS,Aryavart Bank erstwhile Gramin Bank of Aryavart,1.42,66.44,31.87,1.45,33.32
2021-01-10,2021,1,AEPS,ICICI Bank,1.41,77.95,19.6,2.2,21.8
2021-01-10,2021,1,AEPS,Jharkhand Rajya Gramin Bank erstwhile Vananchal Gramin Bank,1.31,81.36,15.09,3.32,18.41
2021-01-10,2021,1,AEPS,Tripura Gramin Bank,1.22,51.45,17.15,31.19,48.34
2021-01-10,2021,1,AEPS,Airtel Payment Bank,1.14,79.29,18.22,2.25,20.47
2021-01-10,2021,1,AEPS,Fino Payments Bank,1.13,84.45,13.56,1.78,15.34
2021-01-10,2021,1,AEPS,Andhra Pradesh Grameena Vikash Bank,1.05,84.69,14.2,0.92,15.12
2021-01-10,2021,1,AEPS,Punjab & Sind Bank,1.02,63.67,16.85,19.22,36.07
2021-01-10,2021,1,AEPS,IDBI Bank,0.99,73.47,18.62,7.67,26.29
2021-01-10,2021,1,AEPS,Axis Bank,0.94,78.99,18.65,2.18,20.83
2021-01-10,2021,1,AEPS,Uttar Banga Kshetriya Gramin Bank,0.85,85.6,13.07,1.04,14.11
2021-01-10,2021,1,AEPS,Baroda Gujarat Gramin Bank,0.73,78.84,16.21,4.75,20.96
2021-01-10,2021,1,AEPS,Andhra Pragathi Grameena Bank,0.7,83.87,13.36,2.57,15.93
2021-01-10,2021,1,AEPS,Paytm Payments Bank,0.59,84.35,13.87,1.57,15.44
2021-01-10,2021,1,AEPS,Odisha Gramya Bank,0.56,85.5,12.39,1.82,14.21
2021-01-10,2021,1,AEPS,Sarva Haryana Gramin Bank,0.55,83.72,13.65,2.31,15.96
2021-01-10,2021,1,AEPS,Karnataka Vikas Grameena Bank,0.51,81.02,15.1,3.65,18.75
2021-01-10,2021,1,AEPS,Telangana Grameena Bank,0.49,89.72,8.67,1.36,10.03
2021-01-10,2021,1,AEPS,IDFC First Bank,0.44,53.24,6.56,39.98,46.54
2021-01-10,2021,1,AEPS,Punjab Gramin Bank,0.33,69.96,28.6,1.11,29.71
2021-01-10,2021,1,AEPS,Saptagiri Grameena Bank,0.26,74.91,19.37,5.55,24.92
2021-01-10,2021,1,AEPS,Ujjivan Small Finance Bank Limited,0.25,83.07,15.01,1.72,16.73
2021-01-10,2021,1,AEPS,Karnataka Bank,0.24,54.5,32.39,12.31,44.7
2021-01-11,2021,1,AEPS,State Bank of India,63.43,76.35,18.57,4.77,23.34
2021-01-11,2021,1,AEPS,Punjab National Bank,21.85,83.31,14.03,2.33,16.36
2021-01-11,2021,1,AEPS,Union Bank of India,22.54,88.68,9.01,2.05,11.059999999999999
2021-01-11,2021,1,AEPS,Bank of Baroda,18.01,65.38,32.69,1.74,34.43
2021-01-11,2021,1,AEPS,Indian Bank,16.76,73.82,20.02,5.86,25.88
2021-01-11,2021,1,AEPS,Central Bank of India,15.4,87.55,10.5,1.63,12.129999999999999
2021-01-11,2021,1,AEPS,Bank of India,11.66,77.82,15.6,6.25,21.85
2021-01-11,2021,1,AEPS,Canara Bank,7.17,81.89,11.31,6.49,17.8
2021-01-11,2021,1,AEPS,Bangiya Gramin Vikash Bank,5.42,41.02,6.92,51.79,58.71
2021-01-11,2021,1,AEPS,Baroda Uttar Pradesh Gramin Bank,5.17,83.07,15.14,1.57,16.71
2021-01-11,2021,1,AEPS,UCO Bank,4.47,82.13,12.84,4.68,17.52
2021-01-11,2021,1,AEPS,Uttar Bihar Grameen Bank,3.6,84.67,12.02,3.02,15.04
2021-01-11,2021,1,AEPS,Dakshin Bihar Gramin Bank erstwhile Madhya Bihar Gramin Bank,3.73,86.12,11.13,2.44,13.57
2021-01-11,2021,1,AEPS,India Post Payment Bank,4.18,79.57,18.58,1.56,20.139999999999997
2021-01-11,2021,1,AEPS,Indian Overseas Bank,3.57,86.26,8.88,4.54,13.420000000000002
2021-01-11,2021,1,AEPS,Baroda Rajasthan Kshetriya Gramin Bank,2.87,83.72,14.22,1.81,16.03
2021-01-11,2021,1,AEPS,Prathma UP Gramin Bank erstwhile Sarva UP Gramin Bank,2.65,83.8,11.44,4.45,15.89
2021-01-11,2021,1,AEPS,Purvanchal Gramin Bank,2.75,68.92,21.98,8.86,30.84
2021-01-11,2021,1,AEPS,Madhya Pradesh Gramin Bank erstwhile Narmada Jhabua Gramin Bank,2.29,87.65,9.6,2.45,12.05
2021-01-11,2021,1,AEPS,Chhattisgarh Rajya Gramin Bank,2.31,73.11,14.86,11.75,26.61
2021-01-11,2021,1,AEPS,HDFC Bank,2.63,86.66,12.08,1.06,13.14
